Tx,Ty,Tz,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-0.01,0.0,0.0,0.0,0.0,0.0
0.0,-0.009000000000000001,0.0,0.0,0.0,0.0,0.0
0.0,-0.008,0.0,0.0,0.0,0.0,0.0
0.0,-0.007,0.0,0.0,0.0,0.0,0.0
0.0,-0.006,0.0,0.0,0.0,0.0,0.0
0.0,-0.005,0.0,0.0,0.0,0.0,0.0
0.0,-0.004,0.0,0.0,0.0,0.0,0.0
0.0,-0.003,0.0,0.0,0.0,0.0,0.0
0.0,-0.002,0.0,0.0,0.0,0.0,0.0
0.0,-0.001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001,0.0,0.0,0.0,0.0,0.0
0.0,0.002,0.0,0.0,0.0,0.0,0.0
0.0,0.003,0.0,0.0,0.0,0.0,0.0
0.0,0.004,0.0,0.0,0.0,0.0,0.0
0.0,0.005,0.0,0.0,0.0,0.0,0.0
0.0,0.006,0.0,0.0,0.0,0.0,0.0
0.0,0.007,0.0,0.0,0.0,0.0,0.0
0.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0
